============================================================
                       ES Training                       
============================================================
[09:47:12] out_dir=training_history_20260630_094712
[09:47:12] params=553,053
[09:47:12] seed=42
[09:47:12] pop_size=48
[09:47:12] sigma=0.3
[09:47:12] lr=0.1
[09:47:12] workers=16
[09:47:12] games_per_ind=6
[09:47:12] generations=200
[09:47:12] opponents=random from population (self-play)
------------------------------------------------------------
[09:47:12] mode=synthetic test
[09:47:12] init_dist_to_target=9.2390
gen=gen  best=best_fit  avg=avg_fit  eval_s=eval(s)  total_s=total(s)  dist=dist_to_target
gen=92  best=0.0889  avg=0.0855  eval_s=2.2  total_s=2.6  dist=4.85
gen=93  best=0.0891  avg=0.0855  eval_s=2.1  total_s=2.6  dist=4.83
gen=94  best=0.0904  avg=0.0858  eval_s=2.2  total_s=2.6  dist=4.81
gen=95  best=0.0884  avg=0.0857  eval_s=2.1  total_s=2.6  dist=4.79
gen=96  best=0.0895  avg=0.0861  eval_s=2.2  total_s=2.6  dist=4.75
gen=97  best=0.0896  avg=0.0860  eval_s=2.1  total_s=2.6  dist=4.72
gen=98  best=0.0897  avg=0.0862  eval_s=2.2  total_s=2.6  dist=4.69
gen=99  best=0.0902  avg=0.0866  eval_s=2.2  total_s=2.6  dist=4.64
[09:51:35] checkpoint=training_history_20260630_094712\gen_0100.pt
gen=100  best=0.0917  avg=0.0866  eval_s=2.2  total_s=2.6  dist=4.61
gen=101  best=0.0903  avg=0.0868  eval_s=2.1  total_s=2.6  dist=4.57
gen=102  best=0.0900  avg=0.0863  eval_s=2.2  total_s=2.6  dist=4.54
gen=103  best=0.0917  avg=0.0870  eval_s=2.2  total_s=2.7  dist=4.48
gen=104  best=0.0902  avg=0.0875  eval_s=2.2  total_s=2.6  dist=4.45
gen=105  best=0.0927  avg=0.0873  eval_s=2.1  total_s=2.5  dist=4.42
gen=106  best=0.0922  avg=0.0876  eval_s=2.2  total_s=2.7  dist=4.40
gen=107  best=0.0925  avg=0.0871  eval_s=2.2  total_s=2.6  dist=4.37
gen=108  best=0.0907  avg=0.0873  eval_s=2.3  total_s=2.7  dist=4.35
gen=109  best=0.0916  avg=0.0878  eval_s=2.2  total_s=2.7  dist=4.33
[09:52:02] checkpoint=training_history_20260630_094712\gen_0110.pt
gen=110  best=0.0933  avg=0.0876  eval_s=2.2  total_s=2.6  dist=4.29
gen=111  best=0.0916  avg=0.0876  eval_s=2.2  total_s=2.7  dist=4.26
gen=112  best=0.0913  avg=0.0881  eval_s=2.3  total_s=2.8  dist=4.23
gen=113  best=0.0914  avg=0.0877  eval_s=2.2  total_s=2.7  dist=4.22
gen=114  best=0.0924  avg=0.0879  eval_s=2.2  total_s=2.6  dist=4.21
gen=115  best=0.0905  avg=0.0877  eval_s=2.2  total_s=2.7  dist=4.18
gen=116  best=0.0924  avg=0.0875  eval_s=2.1  total_s=2.6  dist=4.14
gen=117  best=0.0912  avg=0.0880  eval_s=2.2  total_s=2.6  dist=4.11
gen=118  best=0.0924  avg=0.0883  eval_s=2.2  total_s=2.6  dist=4.07
gen=119  best=0.0932  avg=0.0892  eval_s=2.1  total_s=2.6  dist=4.07
[09:52:28] checkpoint=training_history_20260630_094712\gen_0120.pt
gen=120  best=0.0919  avg=0.0883  eval_s=2.1  total_s=2.6  dist=4.04
gen=121  best=0.0928  avg=0.0886  eval_s=2.1  total_s=2.5  dist=4.02
gen=122  best=0.0924  avg=0.0883  eval_s=2.1  total_s=2.5  dist=3.98
gen=123  best=0.0927  avg=0.0885  eval_s=2.1  total_s=2.6  dist=3.95
gen=124  best=0.0936  avg=0.0888  eval_s=2.1  total_s=2.5  dist=3.91
gen=125  best=0.0939  avg=0.0888  eval_s=2.1  total_s=2.6  dist=3.88
gen=126  best=0.0934  avg=0.0888  eval_s=2.1  total_s=2.6  dist=3.87
gen=127  best=0.0930  avg=0.0891  eval_s=2.1  total_s=2.6  dist=3.85
gen=128  best=0.0937  avg=0.0887  eval_s=2.1  total_s=2.5  dist=3.84
gen=129  best=0.0923  avg=0.0889  eval_s=2.1  total_s=2.6  dist=3.85
[09:52:54] checkpoint=training_history_20260630_094712\gen_0130.pt
gen=130  best=0.0927  avg=0.0891  eval_s=2.1  total_s=2.6  dist=3.82
gen=131  best=0.0930  avg=0.0888  eval_s=2.1  total_s=2.6  dist=3.79
gen=132  best=0.0935  avg=0.0891  eval_s=2.1  total_s=2.6  dist=3.79
gen=133  best=0.0942  avg=0.0894  eval_s=2.1  total_s=2.6  dist=3.78
gen=134  best=0.0950  avg=0.0894  eval_s=2.1  total_s=2.6  dist=3.74
gen=135  best=0.0920  avg=0.0889  eval_s=2.2  total_s=2.6  dist=3.72
gen=136  best=0.0921  avg=0.0892  eval_s=2.1  total_s=2.6  dist=3.71
gen=137  best=0.0925  avg=0.0894  eval_s=2.2  total_s=2.6  dist=3.70
gen=138  best=0.0938  avg=0.0894  eval_s=2.1  total_s=2.6  dist=3.68
gen=139  best=0.0942  avg=0.0895  eval_s=2.1  total_s=2.6  dist=3.69
[09:53:20] checkpoint=training_history_20260630_094712\gen_0140.pt
gen=140  best=0.0949  avg=0.0890  eval_s=2.1  total_s=2.6  dist=3.68
gen=141  best=0.0961  avg=0.0896  eval_s=2.1  total_s=2.6  dist=3.67
gen=142  best=0.0955  avg=0.0898  eval_s=2.1  total_s=2.5  dist=3.66
gen=143  best=0.0929  avg=0.0896  eval_s=2.1  total_s=2.6  dist=3.65
gen=144  best=0.0937  avg=0.0897  eval_s=2.1  total_s=2.6  dist=3.64
gen=145  best=0.0939  avg=0.0895  eval_s=2.1  total_s=2.6  dist=3.59
gen=146  best=0.0934  avg=0.0899  eval_s=2.1  total_s=2.6  dist=3.57
gen=147  best=0.0942  avg=0.0904  eval_s=2.1  total_s=2.6  dist=3.56
gen=148  best=0.0943  avg=0.0901  eval_s=2.1  total_s=2.6  dist=3.55
gen=149  best=0.0930  avg=0.0896  eval_s=2.1  total_s=2.6  dist=3.54
[09:53:46] checkpoint=training_history_20260630_094712\gen_0150.pt
gen=150  best=0.0934  avg=0.0901  eval_s=2.1  total_s=2.6  dist=3.52
gen=151  best=0.0940  avg=0.0895  eval_s=2.1  total_s=2.5  dist=3.50
gen=152  best=0.0935  avg=0.0896  eval_s=2.1  total_s=2.6  dist=3.47
gen=153  best=0.0941  avg=0.0902  eval_s=2.2  total_s=2.7  dist=3.42
gen=154  best=0.0940  avg=0.0903  eval_s=2.2  total_s=2.6  dist=3.41
gen=155  best=0.0935  avg=0.0901  eval_s=2.2  total_s=2.6  dist=3.41
gen=156  best=0.0941  avg=0.0901  eval_s=2.2  total_s=2.6  dist=3.41
gen=157  best=0.0951  avg=0.0904  eval_s=2.2  total_s=2.6  dist=3.40
gen=158  best=0.0947  avg=0.0907  eval_s=2.2  total_s=2.6  dist=3.41
gen=159  best=0.0946  avg=0.0900  eval_s=2.1  total_s=2.6  dist=3.39
[09:54:12] checkpoint=training_history_20260630_094712\gen_0160.pt
gen=160  best=0.0977  avg=0.0903  eval_s=2.1  total_s=2.6  dist=3.35
gen=161  best=0.0953  avg=0.0907  eval_s=2.1  total_s=2.6  dist=3.32
gen=162  best=0.0949  avg=0.0906  eval_s=2.2  total_s=2.6  dist=3.28
gen=163  best=0.0952  avg=0.0902  eval_s=2.1  total_s=2.6  dist=3.28
gen=164  best=0.0966  avg=0.0908  eval_s=2.2  total_s=2.6  dist=3.29
gen=165  best=0.0939  avg=0.0908  eval_s=2.1  total_s=2.6  dist=3.27
gen=166  best=0.0953  avg=0.0903  eval_s=2.1  total_s=2.5  dist=3.24
gen=167  best=0.0959  avg=0.0911  eval_s=2.2  total_s=2.6  dist=3.22
gen=168  best=0.0952  avg=0.0906  eval_s=2.2  total_s=2.6  dist=3.23
gen=169  best=0.0944  avg=0.0904  eval_s=2.1  total_s=2.5  dist=3.19
[09:54:38] checkpoint=training_history_20260630_094712\gen_0170.pt
gen=170  best=0.0953  avg=0.0910  eval_s=2.1  total_s=2.5  dist=3.19
gen=171  best=0.0956  avg=0.0912  eval_s=2.1  total_s=2.5  dist=3.19
gen=172  best=0.0961  avg=0.0907  eval_s=2.2  total_s=2.7  dist=3.18
gen=173  best=0.0944  avg=0.0910  eval_s=2.1  total_s=2.6  dist=3.16
gen=174  best=0.0954  avg=0.0915  eval_s=2.1  total_s=2.6  dist=3.16
gen=175  best=0.0943  avg=0.0907  eval_s=2.2  total_s=2.7  dist=3.15
gen=176  best=0.0948  avg=0.0911  eval_s=2.3  total_s=2.7  dist=3.10
gen=177  best=0.0953  avg=0.0910  eval_s=2.2  total_s=2.6  dist=3.09
gen=178  best=0.0959  avg=0.0916  eval_s=2.1  total_s=2.6  dist=3.07
gen=179  best=0.0940  avg=0.0909  eval_s=2.1  total_s=2.5  dist=3.06
[09:55:04] checkpoint=training_history_20260630_094712\gen_0180.pt
gen=180  best=0.0975  avg=0.0915  eval_s=2.1  total_s=2.6  dist=3.03
gen=181  best=0.0949  avg=0.0912  eval_s=2.1  total_s=2.5  dist=3.02
gen=182  best=0.0952  avg=0.0919  eval_s=2.1  total_s=2.6  dist=3.03
gen=183  best=0.0947  avg=0.0911  eval_s=2.2  total_s=2.7  dist=3.03
gen=184  best=0.0986  avg=0.0914  eval_s=2.3  total_s=2.8  dist=3.02
gen=185  best=0.0956  avg=0.0914  eval_s=2.3  total_s=2.8  dist=3.02
gen=186  best=0.0953  avg=0.0915  eval_s=2.1  total_s=2.5  dist=3.03
gen=187  best=0.0988  avg=0.0915  eval_s=2.1  total_s=2.6  dist=3.02
gen=188  best=0.0963  avg=0.0919  eval_s=2.1  total_s=2.5  dist=3.01
gen=189  best=0.0939  avg=0.0907  eval_s=2.1  total_s=2.5  dist=3.02
[09:55:30] checkpoint=training_history_20260630_094712\gen_0190.pt
gen=190  best=0.0963  avg=0.0915  eval_s=2.1  total_s=2.5  dist=3.03
gen=191  best=0.0955  avg=0.0915  eval_s=2.1  total_s=2.5  dist=3.04
gen=192  best=0.0962  avg=0.0915  eval_s=2.1  total_s=2.6  dist=3.02
gen=193  best=0.0951  avg=0.0913  eval_s=2.1  total_s=2.5  dist=3.02
